2025-03-19 15:29:56,138|27|true|172.18.0.1|publish|presence-srv|dev|9bc64a27-6584-46a8-b0e0-e7dac094ec2d|2a43097cb79e102b4c91040d0ab9febc|null
2025-03-19 15:30:06,396|57|200|172.17.0.1|get|presence-srv|dev|9bc64a27-6584-46a8-b0e0-e7dac094ec2d|2a43097cb79e102b4c91040d0ab9febc|
2025-03-19 15:31:00,862|4|200|172.17.0.1|get|presence-srv|dev|9bc64a27-6584-46a8-b0e0-e7dac094ec2d|2a43097cb79e102b4c91040d0ab9febc|
2025-03-19 15:33:09,300|3|200|172.17.0.1|get|presence-srv|dev|9bc64a27-6584-46a8-b0e0-e7dac094ec2d|2a43097cb79e102b4c91040d0ab9febc|
2025-03-19 15:37:05,863|2|200|172.17.0.1|get|presence-srv|dev|9bc64a27-6584-46a8-b0e0-e7dac094ec2d|2a43097cb79e102b4c91040d0ab9febc|
2025-03-19 15:43:40,194|1|200|172.17.0.1|get|presence-srv|dev|9bc64a27-6584-46a8-b0e0-e7dac094ec2d|2a43097cb79e102b4c91040d0ab9febc|
2025-03-19 15:49:57,199|1|200|172.17.0.1|get|presence-srv|dev|9bc64a27-6584-46a8-b0e0-e7dac094ec2d|2a43097cb79e102b4c91040d0ab9febc|
2025-03-19 15:51:43,134|2|200|172.17.0.1|get|presence-srv|dev|9bc64a27-6584-46a8-b0e0-e7dac094ec2d|2a43097cb79e102b4c91040d0ab9febc|
2025-03-19 17:02:19,515|1|200|172.17.0.1|get|presence-srv|dev|9bc64a27-6584-46a8-b0e0-e7dac094ec2d|2a43097cb79e102b4c91040d0ab9febc|
2025-03-19 17:04:11,224|1|200|172.17.0.1|get|presence-srv|dev|9bc64a27-6584-46a8-b0e0-e7dac094ec2d|2a43097cb79e102b4c91040d0ab9febc|
2025-03-19 17:04:19,048|2|200|172.17.0.1|get|presence-srv|dev|9bc64a27-6584-46a8-b0e0-e7dac094ec2d|2a43097cb79e102b4c91040d0ab9febc|
2025-03-19 17:05:42,058|2|200|172.17.0.1|get|presence-srv|dev|9bc64a27-6584-46a8-b0e0-e7dac094ec2d|2a43097cb79e102b4c91040d0ab9febc|
