2025-03-19 15:29:56,138|f5024875a02e|presence-srv|dev|9bc64a27-6584-46a8-b0e0-e7dac094ec2d|null|1742369396112|f5024875a02e|persist|pub|-1|2a43097cb79e102b4c91040d0ab9febc
2025-03-19 15:29:56,157|f5024875a02e|presence-srv|dev|9bc64a27-6584-46a8-b0e0-e7dac094ec2d|null|1742369396112|172.18.0.6|dump|ok|45|212
2025-03-19 15:30:06,396|f5024875a02e|presence-srv|dev|9bc64a27-6584-46a8-b0e0-e7dac094ec2d|null|1742369396112|pull|ok|-1|172.17.0.1|false
2025-03-19 15:31:00,862|f5024875a02e|presence-srv|dev|9bc64a27-6584-46a8-b0e0-e7dac094ec2d|null|1742369396112|pull|ok|-1|172.17.0.1|false
2025-03-19 15:33:09,300|f5024875a02e|presence-srv|dev|9bc64a27-6584-46a8-b0e0-e7dac094ec2d|null|1742369396112|pull|ok|-1|172.17.0.1|false
2025-03-19 15:37:05,863|f5024875a02e|presence-srv|dev|9bc64a27-6584-46a8-b0e0-e7dac094ec2d|null|1742369396112|pull|ok|-1|172.17.0.1|false
2025-03-19 15:43:40,194|f5024875a02e|presence-srv|dev|9bc64a27-6584-46a8-b0e0-e7dac094ec2d|null|1742369396112|pull|ok|-1|172.17.0.1|false
2025-03-19 15:49:57,199|f5024875a02e|presence-srv|dev|9bc64a27-6584-46a8-b0e0-e7dac094ec2d|null|1742369396112|pull|ok|-1|172.17.0.1|false
2025-03-19 15:51:43,133|f5024875a02e|presence-srv|dev|9bc64a27-6584-46a8-b0e0-e7dac094ec2d|null|1742369396112|pull|ok|-1|172.17.0.1|false
2025-03-19 17:02:19,515|f5024875a02e|presence-srv|dev|9bc64a27-6584-46a8-b0e0-e7dac094ec2d|null|1742369396112|pull|ok|-1|172.17.0.1|false
2025-03-19 17:04:11,224|f5024875a02e|presence-srv|dev|9bc64a27-6584-46a8-b0e0-e7dac094ec2d|null|1742369396112|pull|ok|-1|172.17.0.1|false
2025-03-19 17:04:19,048|f5024875a02e|presence-srv|dev|9bc64a27-6584-46a8-b0e0-e7dac094ec2d|null|1742369396112|pull|ok|-1|172.17.0.1|false
2025-03-19 17:05:42,057|f5024875a02e|presence-srv|dev|9bc64a27-6584-46a8-b0e0-e7dac094ec2d|null|1742369396112|pull|ok|-1|172.17.0.1|false
